"","Combination.label","First.ad","Second.ad","Third.ad","Fourth.ad","Probability.of.combination","Ordered.combination","row"
"63","c12","H2_C1","H4_C1","H3_C1","H1_C1","P(c12 | G=C1)=1/24","H2_C1, H4_C1, H3_C1, H1_C1",41
"168","c17","H3_C1","H4_C1","H1_C1","H2_C1","P(c17 | G=C1)=1/24","H3_C1, H4_C1, H1_C1, H2_C1",42
"3","c1","H1_C1","H2_C1","H3_C1","H4_C1","P(c1 | G=C1)=1/24","H1_C1, H2_C1, H3_C1, H4_C1",43
"308","c3","H1_C1","H3_C1","H2_C1","H4_C1","P(c3 | G=C1)=1/24","H1_C1, H3_C1, H2_C1, H4_C1",44
"237","c20","H4_C1","H1_C1","H3_C1","H2_C1","P(c20 | G=C1)=1/24","H4_C1, H1_C1, H3_C1, H2_C1",45
"331","c4","H1_C1","H3_C1","H4_C1","H2_C1","P(c4 | G=C1)=1/24","H1_C1, H3_C1, H4_C1, H2_C1",46
"380","c6","H1_C1","H4_C1","H3_C1","H2_C1","P(c6 | G=C1)=1/24","H1_C1, H4_C1, H3_C1, H2_C1",47
"355","c5","H1_C1","H4_C1","H2_C1","H3_C1","P(c5 | G=C1)=1/24","H1_C1, H4_C1, H2_C1, H3_C1",48
"327","c4","H1_C1","H3_C1","H4_C1","H2_C1","P(c4 | G=C1)=1/24","H1_C1, H3_C1, H4_C1, H2_C1",49
"162","c17","H3_C1","H4_C1","H1_C1","H2_C1","P(c17 | G=C1)=1/24","H3_C1, H4_C1, H1_C1, H2_C1",50
"396","c7","H2_C1","H1_C1","H3_C1","H4_C1","P(c7 | G=C1)=1/24","H2_C1, H1_C1, H3_C1, H4_C1",51
"290","c24","H4_C1","H3_C1","H2_C1","H1_C1","P(c24 | G=C1)=1/24","H4_C1, H3_C1, H2_C1, H1_C1",52
"196","c18","H3_C1","H4_C1","H2_C1","H1_C1","P(c18 | G=C1)=1/24","H3_C1, H4_C1, H2_C1, H1_C1",53
"267","c22","H4_C1","H2_C1","H3_C1","H1_C1","P(c22 | G=C1)=1/24","H4_C1, H2_C1, H3_C1, H1_C1",54
"15","c1","H1_C1","H2_C1","H3_C1","H4_C1","P(c1 | G=C1)=1/24","H1_C1, H2_C1, H3_C1, H4_C1",55
"293","c24","H4_C1","H3_C1","H2_C1","H1_C1","P(c24 | G=C1)=1/24","H4_C1, H3_C1, H2_C1, H1_C1",56
"129","c15","H3_C1","H2_C1","H1_C1","H4_C1","P(c15 | G=C1)=1/24","H3_C1, H2_C1, H1_C1, H4_C1",57
"105","c14","H3_C1","H1_C1","H4_C1","H2_C1","P(c14 | G=C1)=1/24","H3_C1, H1_C1, H4_C1, H2_C1",58
"332","c4","H1_C1","H3_C1","H4_C1","H2_C1","P(c4 | G=C1)=1/24","H1_C1, H3_C1, H4_C1, H2_C1",59
"127","c15","H3_C1","H2_C1","H1_C1","H4_C1","P(c15 | G=C1)=1/24","H3_C1, H2_C1, H1_C1, H4_C1",60
"61","c12","H2_C1","H4_C1","H3_C1","H1_C1","P(c12 | G=C1)=1/24","H2_C1, H4_C1, H3_C1, H1_C1",61
"249","c21","H4_C1","H2_C1","H1_C1","H3_C1","P(c21 | G=C1)=1/24","H4_C1, H2_C1, H1_C1, H3_C1",62
"198","c19","H4_C1","H1_C1","H2_C1","H3_C1","P(c19 | G=C1)=1/24","H4_C1, H1_C1, H2_C1, H3_C1",63
"274","c23","H4_C1","H3_C1","H1_C1","H2_C1","P(c23 | G=C1)=1/24","H4_C1, H3_C1, H1_C1, H2_C1",64
"194","c18","H3_C1","H4_C1","H2_C1","H1_C1","P(c18 | G=C1)=1/24","H3_C1, H4_C1, H2_C1, H1_C1",65
"14","c1","H1_C1","H2_C1","H3_C1","H4_C1","P(c1 | G=C1)=1/24","H1_C1, H2_C1, H3_C1, H4_C1",66
"287","c23","H4_C1","H3_C1","H1_C1","H2_C1","P(c23 | G=C1)=1/24","H4_C1, H3_C1, H1_C1, H2_C1",67
"359","c5","H1_C1","H4_C1","H2_C1","H3_C1","P(c5 | G=C1)=1/24","H1_C1, H4_C1, H2_C1, H3_C1",68
"115","c14","H3_C1","H1_C1","H4_C1","H2_C1","P(c14 | G=C1)=1/24","H3_C1, H1_C1, H4_C1, H2_C1",69
"78","c12","H2_C1","H4_C1","H3_C1","H1_C1","P(c12 | G=C1)=1/24","H2_C1, H4_C1, H3_C1, H1_C1",70
"364","c6","H1_C1","H4_C1","H3_C1","H2_C1","P(c6 | G=C1)=1/24","H1_C1, H4_C1, H3_C1, H2_C1",71
"165","c17","H3_C1","H4_C1","H1_C1","H2_C1","P(c17 | G=C1)=1/24","H3_C1, H4_C1, H1_C1, H2_C1",72
"296","c24","H4_C1","H3_C1","H2_C1","H1_C1","P(c24 | G=C1)=1/24","H4_C1, H3_C1, H2_C1, H1_C1",73
"356","c5","H1_C1","H4_C1","H2_C1","H3_C1","P(c5 | G=C1)=1/24","H1_C1, H4_C1, H2_C1, H3_C1",74
"34","c10","H2_C1","H3_C1","H4_C1","H1_C1","P(c10 | G=C1)=1/24","H2_C1, H3_C1, H4_C1, H1_C1",75
"40","c10","H2_C1","H3_C1","H4_C1","H1_C1","P(c10 | G=C1)=1/24","H2_C1, H3_C1, H4_C1, H1_C1",76
"212","c19","H4_C1","H1_C1","H2_C1","H3_C1","P(c19 | G=C1)=1/24","H4_C1, H1_C1, H2_C1, H3_C1",77
"305","c3","H1_C1","H3_C1","H2_C1","H4_C1","P(c3 | G=C1)=1/24","H1_C1, H3_C1, H2_C1, H4_C1",78
"233","c20","H4_C1","H1_C1","H3_C1","H2_C1","P(c20 | G=C1)=1/24","H4_C1, H1_C1, H3_C1, H2_C1",79
"213","c19","H4_C1","H1_C1","H2_C1","H3_C1","P(c19 | G=C1)=1/24","H4_C1, H1_C1, H2_C1, H3_C1",80
"164","c17","H3_C1","H4_C1","H1_C1","H2_C1","P(c17 | G=C1)=1/24","H3_C1, H4_C1, H1_C1, H2_C1",81
"133","c15","H3_C1","H2_C1","H1_C1","H4_C1","P(c15 | G=C1)=1/24","H3_C1, H2_C1, H1_C1, H4_C1",82
"278","c23","H4_C1","H3_C1","H1_C1","H2_C1","P(c23 | G=C1)=1/24","H4_C1, H3_C1, H1_C1, H2_C1",83
"230","c20","H4_C1","H1_C1","H3_C1","H2_C1","P(c20 | G=C1)=1/24","H4_C1, H1_C1, H3_C1, H2_C1",84
"42","c11","H2_C1","H4_C1","H1_C1","H3_C1","P(c11 | G=C1)=1/24","H2_C1, H4_C1, H1_C1, H3_C1",85
"229","c20","H4_C1","H1_C1","H3_C1","H2_C1","P(c20 | G=C1)=1/24","H4_C1, H1_C1, H3_C1, H2_C1",86
"301","c3","H1_C1","H3_C1","H2_C1","H4_C1","P(c3 | G=C1)=1/24","H1_C1, H3_C1, H2_C1, H4_C1",87
"31","c10","H2_C1","H3_C1","H4_C1","H1_C1","P(c10 | G=C1)=1/24","H2_C1, H3_C1, H4_C1, H1_C1",88
"431","c9","H2_C1","H3_C1","H1_C1","H4_C1","P(c9 | G=C1)=1/24","H2_C1, H3_C1, H1_C1, H4_C1",89
"6","c1","H1_C1","H2_C1","H3_C1","H4_C1","P(c1 | G=C1)=1/24","H1_C1, H2_C1, H3_C1, H4_C1",90
"417","c8","H2_C1","H1_C1","H4_C1","H3_C1","P(c8 | G=C1)=1/24","H2_C1, H1_C1, H4_C1, H3_C1",91
"401","c7","H2_C1","H1_C1","H3_C1","H4_C1","P(c7 | G=C1)=1/24","H2_C1, H1_C1, H3_C1, H4_C1",92
"151","c16","H3_C1","H2_C1","H4_C1","H1_C1","P(c16 | G=C1)=1/24","H3_C1, H2_C1, H4_C1, H1_C1",93
"177","c17","H3_C1","H4_C1","H1_C1","H2_C1","P(c17 | G=C1)=1/24","H3_C1, H4_C1, H1_C1, H2_C1",94
"354","c5","H1_C1","H4_C1","H2_C1","H3_C1","P(c5 | G=C1)=1/24","H1_C1, H4_C1, H2_C1, H3_C1",95
"292","c24","H4_C1","H3_C1","H2_C1","H1_C1","P(c24 | G=C1)=1/24","H4_C1, H3_C1, H2_C1, H1_C1",96
"197","c19","H4_C1","H1_C1","H2_C1","H3_C1","P(c19 | G=C1)=1/24","H4_C1, H1_C1, H2_C1, H3_C1",97
"5","c1","H1_C1","H2_C1","H3_C1","H4_C1","P(c1 | G=C1)=1/24","H1_C1, H2_C1, H3_C1, H4_C1",98
"309","c3","H1_C1","H3_C1","H2_C1","H4_C1","P(c3 | G=C1)=1/24","H1_C1, H3_C1, H2_C1, H4_C1",99
"371","c6","H1_C1","H4_C1","H3_C1","H2_C1","P(c6 | G=C1)=1/24","H1_C1, H4_C1, H3_C1, H2_C1",100
"288","c24","H4_C1","H3_C1","H2_C1","H1_C1","P(c24 | G=C1)=1/24","H4_C1, H3_C1, H2_C1, H1_C1",101
"184","c18","H3_C1","H4_C1","H2_C1","H1_C1","P(c18 | G=C1)=1/24","H3_C1, H4_C1, H2_C1, H1_C1",102
"286","c23","H4_C1","H3_C1","H1_C1","H2_C1","P(c23 | G=C1)=1/24","H4_C1, H3_C1, H1_C1, H2_C1",103
"149","c16","H3_C1","H2_C1","H4_C1","H1_C1","P(c16 | G=C1)=1/24","H3_C1, H2_C1, H4_C1, H1_C1",104
"413","c8","H2_C1","H1_C1","H4_C1","H3_C1","P(c8 | G=C1)=1/24","H2_C1, H1_C1, H4_C1, H3_C1",105
"193","c18","H3_C1","H4_C1","H2_C1","H1_C1","P(c18 | G=C1)=1/24","H3_C1, H4_C1, H2_C1, H1_C1",106
"119","c14","H3_C1","H1_C1","H4_C1","H2_C1","P(c14 | G=C1)=1/24","H3_C1, H1_C1, H4_C1, H2_C1",107
"22","c10","H2_C1","H3_C1","H4_C1","H1_C1","P(c10 | G=C1)=1/24","H2_C1, H3_C1, H4_C1, H1_C1",108
"437","c9","H2_C1","H3_C1","H1_C1","H4_C1","P(c9 | G=C1)=1/24","H2_C1, H3_C1, H1_C1, H4_C1",109
"122","c14","H3_C1","H1_C1","H4_C1","H2_C1","P(c14 | G=C1)=1/24","H3_C1, H1_C1, H4_C1, H2_C1",110
"320","c3","H1_C1","H3_C1","H2_C1","H4_C1","P(c3 | G=C1)=1/24","H1_C1, H3_C1, H2_C1, H4_C1",111
"235","c20","H4_C1","H1_C1","H3_C1","H2_C1","P(c20 | G=C1)=1/24","H4_C1, H1_C1, H3_C1, H2_C1",112
"7","c1","H1_C1","H2_C1","H3_C1","H4_C1","P(c1 | G=C1)=1/24","H1_C1, H2_C1, H3_C1, H4_C1",113
"357","c5","H1_C1","H4_C1","H2_C1","H3_C1","P(c5 | G=C1)=1/24","H1_C1, H4_C1, H2_C1, H3_C1",114
"70","c12","H2_C1","H4_C1","H3_C1","H1_C1","P(c12 | G=C1)=1/24","H2_C1, H4_C1, H3_C1, H1_C1",115
"348","c5","H1_C1","H4_C1","H2_C1","H3_C1","P(c5 | G=C1)=1/24","H1_C1, H4_C1, H2_C1, H3_C1",116
"82","c12","H2_C1","H4_C1","H3_C1","H1_C1","P(c12 | G=C1)=1/24","H2_C1, H4_C1, H3_C1, H1_C1",117
"299","c24","H4_C1","H3_C1","H2_C1","H1_C1","P(c24 | G=C1)=1/24","H4_C1, H3_C1, H2_C1, H1_C1",118
"276","c23","H4_C1","H3_C1","H1_C1","H2_C1","P(c23 | G=C1)=1/24","H4_C1, H3_C1, H1_C1, H2_C1",119
"16","c1","H1_C1","H2_C1","H3_C1","H4_C1","P(c1 | G=C1)=1/24","H1_C1, H2_C1, H3_C1, H4_C1",120
"1","c1","H1_C1","H2_C1","H3_C1","H4_C1","P(c1 | G=C1)=1/24","H1_C1, H2_C1, H3_C1, H4_C1",121
"422","c9","H2_C1","H3_C1","H1_C1","H4_C1","P(c9 | G=C1)=1/24","H2_C1, H3_C1, H1_C1, H4_C1",122
"390","c7","H2_C1","H1_C1","H3_C1","H4_C1","P(c7 | G=C1)=1/24","H2_C1, H1_C1, H3_C1, H4_C1",123
"279","c23","H4_C1","H3_C1","H1_C1","H2_C1","P(c23 | G=C1)=1/24","H4_C1, H3_C1, H1_C1, H2_C1",124
"226","c20","H4_C1","H1_C1","H3_C1","H2_C1","P(c20 | G=C1)=1/24","H4_C1, H1_C1, H3_C1, H2_C1",125
"407","c8","H2_C1","H1_C1","H4_C1","H3_C1","P(c8 | G=C1)=1/24","H2_C1, H1_C1, H4_C1, H3_C1",126
"148","c16","H3_C1","H2_C1","H4_C1","H1_C1","P(c16 | G=C1)=1/24","H3_C1, H2_C1, H4_C1, H1_C1",127
"440","c9","H2_C1","H3_C1","H1_C1","H4_C1","P(c9 | G=C1)=1/24","H2_C1, H3_C1, H1_C1, H4_C1",128
"120","c14","H3_C1","H1_C1","H4_C1","H2_C1","P(c14 | G=C1)=1/24","H3_C1, H1_C1, H4_C1, H2_C1",129
"400","c7","H2_C1","H1_C1","H3_C1","H4_C1","P(c7 | G=C1)=1/24","H2_C1, H1_C1, H3_C1, H4_C1",130
"398","c7","H2_C1","H1_C1","H3_C1","H4_C1","P(c7 | G=C1)=1/24","H2_C1, H1_C1, H3_C1, H4_C1",131
"172","c17","H3_C1","H4_C1","H1_C1","H2_C1","P(c17 | G=C1)=1/24","H3_C1, H4_C1, H1_C1, H2_C1",132
"121","c14","H3_C1","H1_C1","H4_C1","H2_C1","P(c14 | G=C1)=1/24","H3_C1, H1_C1, H4_C1, H2_C1",133
"159","c16","H3_C1","H2_C1","H4_C1","H1_C1","P(c16 | G=C1)=1/24","H3_C1, H2_C1, H4_C1, H1_C1",134
"27","c10","H2_C1","H3_C1","H4_C1","H1_C1","P(c10 | G=C1)=1/24","H2_C1, H3_C1, H4_C1, H1_C1",135
"52","c11","H2_C1","H4_C1","H1_C1","H3_C1","P(c11 | G=C1)=1/24","H2_C1, H4_C1, H1_C1, H3_C1",136
"111","c14","H3_C1","H1_C1","H4_C1","H2_C1","P(c14 | G=C1)=1/24","H3_C1, H1_C1, H4_C1, H2_C1",137
"317","c3","H1_C1","H3_C1","H2_C1","H4_C1","P(c3 | G=C1)=1/24","H1_C1, H3_C1, H2_C1, H4_C1",138
"391","c7","H2_C1","H1_C1","H3_C1","H4_C1","P(c7 | G=C1)=1/24","H2_C1, H1_C1, H3_C1, H4_C1",139
"388","c7","H2_C1","H1_C1","H3_C1","H4_C1","P(c7 | G=C1)=1/24","H2_C1, H1_C1, H3_C1, H4_C1",140
"258","c22","H4_C1","H2_C1","H3_C1","H1_C1","P(c22 | G=C1)=1/24","H4_C1, H2_C1, H3_C1, H1_C1",141
"242","c21","H4_C1","H2_C1","H1_C1","H3_C1","P(c21 | G=C1)=1/24","H4_C1, H2_C1, H1_C1, H3_C1",142
"244","c21","H4_C1","H2_C1","H1_C1","H3_C1","P(c21 | G=C1)=1/24","H4_C1, H2_C1, H1_C1, H3_C1",143
"264","c22","H4_C1","H2_C1","H3_C1","H1_C1","P(c22 | G=C1)=1/24","H4_C1, H2_C1, H3_C1, H1_C1",144
"262","c22","H4_C1","H2_C1","H3_C1","H1_C1","P(c22 | G=C1)=1/24","H4_C1, H2_C1, H3_C1, H1_C1",145
"420","c8","H2_C1","H1_C1","H4_C1","H3_C1","P(c8 | G=C1)=1/24","H2_C1, H1_C1, H4_C1, H3_C1",146
"435","c9","H2_C1","H3_C1","H1_C1","H4_C1","P(c9 | G=C1)=1/24","H2_C1, H3_C1, H1_C1, H4_C1",147
"95","c13","H3_C1","H1_C1","H2_C1","H4_C1","P(c13 | G=C1)=1/24","H3_C1, H1_C1, H2_C1, H4_C1",148
"38","c10","H2_C1","H3_C1","H4_C1","H1_C1","P(c10 | G=C1)=1/24","H2_C1, H3_C1, H4_C1, H1_C1",149
"383","c6","H1_C1","H4_C1","H3_C1","H2_C1","P(c6 | G=C1)=1/24","H1_C1, H4_C1, H3_C1, H2_C1",150
"423","c9","H2_C1","H3_C1","H1_C1","H4_C1","P(c9 | G=C1)=1/24","H2_C1, H3_C1, H1_C1, H4_C1",151
"130","c15","H3_C1","H2_C1","H1_C1","H4_C1","P(c15 | G=C1)=1/24","H3_C1, H2_C1, H1_C1, H4_C1",152
"260","c22","H4_C1","H2_C1","H3_C1","H1_C1","P(c22 | G=C1)=1/24","H4_C1, H2_C1, H3_C1, H1_C1",153
"251","c21","H4_C1","H2_C1","H1_C1","H3_C1","P(c21 | G=C1)=1/24","H4_C1, H2_C1, H1_C1, H3_C1",154
"36","c10","H2_C1","H3_C1","H4_C1","H1_C1","P(c10 | G=C1)=1/24","H2_C1, H3_C1, H4_C1, H1_C1",155
"326","c4","H1_C1","H3_C1","H4_C1","H2_C1","P(c4 | G=C1)=1/24","H1_C1, H3_C1, H4_C1, H2_C1",156
"98","c13","H3_C1","H1_C1","H2_C1","H4_C1","P(c13 | G=C1)=1/24","H3_C1, H1_C1, H2_C1, H4_C1",157
"306","c3","H1_C1","H3_C1","H2_C1","H4_C1","P(c3 | G=C1)=1/24","H1_C1, H3_C1, H2_C1, H4_C1",158
"156","c16","H3_C1","H2_C1","H4_C1","H1_C1","P(c16 | G=C1)=1/24","H3_C1, H2_C1, H4_C1, H1_C1",159
"146","c16","H3_C1","H2_C1","H4_C1","H1_C1","P(c16 | G=C1)=1/24","H3_C1, H2_C1, H4_C1, H1_C1",160
"207","c19","H4_C1","H1_C1","H2_C1","H3_C1","P(c19 | G=C1)=1/24","H4_C1, H1_C1, H2_C1, H3_C1",161
"238","c20","H4_C1","H1_C1","H3_C1","H2_C1","P(c20 | G=C1)=1/24","H4_C1, H1_C1, H3_C1, H2_C1",162
"29","c10","H2_C1","H3_C1","H4_C1","H1_C1","P(c10 | G=C1)=1/24","H2_C1, H3_C1, H4_C1, H1_C1",163
"128","c15","H3_C1","H2_C1","H1_C1","H4_C1","P(c15 | G=C1)=1/24","H3_C1, H2_C1, H1_C1, H4_C1",164
"289","c24","H4_C1","H3_C1","H2_C1","H1_C1","P(c24 | G=C1)=1/24","H4_C1, H3_C1, H2_C1, H1_C1",165
"138","c16","H3_C1","H2_C1","H4_C1","H1_C1","P(c16 | G=C1)=1/24","H3_C1, H2_C1, H4_C1, H1_C1",166
"361","c5","H1_C1","H4_C1","H2_C1","H3_C1","P(c5 | G=C1)=1/24","H1_C1, H4_C1, H2_C1, H3_C1",167
"351","c5","H1_C1","H4_C1","H2_C1","H3_C1","P(c5 | G=C1)=1/24","H1_C1, H4_C1, H2_C1, H3_C1",168
"225","c2","H1_C1","H2_C1","H4_C1","H3_C1","P(c2 | G=C1)=1/24","H1_C1, H2_C1, H4_C1, H3_C1",169
"228","c20","H4_C1","H1_C1","H3_C1","H2_C1","P(c20 | G=C1)=1/24","H4_C1, H1_C1, H3_C1, H2_C1",170
"93","c13","H3_C1","H1_C1","H2_C1","H4_C1","P(c13 | G=C1)=1/24","H3_C1, H1_C1, H2_C1, H4_C1",171
"302","c3","H1_C1","H3_C1","H2_C1","H4_C1","P(c3 | G=C1)=1/24","H1_C1, H3_C1, H2_C1, H4_C1",172
"291","c24","H4_C1","H3_C1","H2_C1","H1_C1","P(c24 | G=C1)=1/24","H4_C1, H3_C1, H2_C1, H1_C1",173
"73","c12","H2_C1","H4_C1","H3_C1","H1_C1","P(c12 | G=C1)=1/24","H2_C1, H4_C1, H3_C1, H1_C1",174
"99","c13","H3_C1","H1_C1","H2_C1","H4_C1","P(c13 | G=C1)=1/24","H3_C1, H1_C1, H2_C1, H4_C1",175
"112","c14","H3_C1","H1_C1","H4_C1","H2_C1","P(c14 | G=C1)=1/24","H3_C1, H1_C1, H4_C1, H2_C1",176
"107","c14","H3_C1","H1_C1","H4_C1","H2_C1","P(c14 | G=C1)=1/24","H3_C1, H1_C1, H4_C1, H2_C1",177
"21","c10","H2_C1","H3_C1","H4_C1","H1_C1","P(c10 | G=C1)=1/24","H2_C1, H3_C1, H4_C1, H1_C1",178
"227","c20","H4_C1","H1_C1","H3_C1","H2_C1","P(c20 | G=C1)=1/24","H4_C1, H1_C1, H3_C1, H2_C1",179
"254","c21","H4_C1","H2_C1","H1_C1","H3_C1","P(c21 | G=C1)=1/24","H4_C1, H2_C1, H1_C1, H3_C1",180
"62","c12","H2_C1","H4_C1","H3_C1","H1_C1","P(c12 | G=C1)=1/24","H2_C1, H4_C1, H3_C1, H1_C1",181
"135","c16","H3_C1","H2_C1","H4_C1","H1_C1","P(c16 | G=C1)=1/24","H3_C1, H2_C1, H4_C1, H1_C1",182
"91","c13","H3_C1","H1_C1","H2_C1","H4_C1","P(c13 | G=C1)=1/24","H3_C1, H1_C1, H2_C1, H4_C1",183
"231","c20","H4_C1","H1_C1","H3_C1","H2_C1","P(c20 | G=C1)=1/24","H4_C1, H1_C1, H3_C1, H2_C1",184
"266","c22","H4_C1","H2_C1","H3_C1","H1_C1","P(c22 | G=C1)=1/24","H4_C1, H2_C1, H3_C1, H1_C1",185
"208","c19","H4_C1","H1_C1","H2_C1","H3_C1","P(c19 | G=C1)=1/24","H4_C1, H1_C1, H2_C1, H3_C1",186
"92","c13","H3_C1","H1_C1","H2_C1","H4_C1","P(c13 | G=C1)=1/24","H3_C1, H1_C1, H2_C1, H4_C1",187
"248","c21","H4_C1","H2_C1","H1_C1","H3_C1","P(c21 | G=C1)=1/24","H4_C1, H2_C1, H1_C1, H3_C1",188
"377","c6","H1_C1","H4_C1","H3_C1","H2_C1","P(c6 | G=C1)=1/24","H1_C1, H4_C1, H3_C1, H2_C1",189
"142","c16","H3_C1","H2_C1","H4_C1","H1_C1","P(c16 | G=C1)=1/24","H3_C1, H2_C1, H4_C1, H1_C1",190
"144","c16","H3_C1","H2_C1","H4_C1","H1_C1","P(c16 | G=C1)=1/24","H3_C1, H2_C1, H4_C1, H1_C1",191
"145","c16","H3_C1","H2_C1","H4_C1","H1_C1","P(c16 | G=C1)=1/24","H3_C1, H2_C1, H4_C1, H1_C1",192
