"","Combination.label","First.ad","Second.ad","Third.ad","Fourth.ad","Probability.of.combination","Ordered.combination","row"
"54","c116","H1N4_T","H2N2_T","H4N3_T","H3N1_T","P(c116 | G=T)=1/576","H1N4_T, H2N2_T, H4N3_T, H3N1_T",37
"142","c150","H2N1_T","H1N3_T","H3N4_T","H4N2_T","P(c150 | G=T)=1/576","H2N1_T, H1N3_T, H3N4_T, H4N2_T",38
"1202","c572","H4N4_T","H3N2_T","H2N3_T","H1N1_T","P(c572 | G=T)=1/576","H4N4_T, H3N2_T, H2N3_T, H1N1_T",39
"942","c466","H4N1_T","H3N4_T","H1N3_T","H2N2_T","P(c466 | G=T)=1/576","H4N1_T, H3N4_T, H1N3_T, H2N2_T",40
"574","c319","H3N1_T","H4N3_T","H2N2_T","H1N4_T","P(c319 | G=T)=1/576","H3N1_T, H4N3_T, H2N2_T, H1N4_T",41
"721","c373","H3N3_T","H2N1_T","H1N2_T","H4N4_T","P(c373 | G=T)=1/576","H3N3_T, H2N1_T, H1N2_T, H4N4_T",42
"233","c180","H2N1_T","H4N4_T","H3N3_T","H1N2_T","P(c180 | G=T)=1/576","H2N1_T, H4N4_T, H3N3_T, H1N2_T",43
"682","c359","H3N2_T","H4N4_T","H2N1_T","H1N3_T","P(c359 | G=T)=1/576","H3N2_T, H4N4_T, H2N1_T, H1N3_T",44
"254","c190","H2N2_T","H1N4_T","H3N3_T","H4N1_T","P(c190 | G=T)=1/576","H2N2_T, H1N4_T, H3N3_T, H4N1_T",45
"498","c290","H3N1_T","H1N2_T","H2N4_T","H4N3_T","P(c290 | G=T)=1/576","H3N1_T, H1N2_T, H2N4_T, H4N3_T",46
"770","c391","H3N3_T","H4N2_T","H2N1_T","H1N4_T","P(c391 | G=T)=1/576","H3N3_T, H4N2_T, H2N1_T, H1N4_T",47
"473","c280","H2N4_T","H4N1_T","H3N3_T","H1N2_T","P(c280 | G=T)=1/576","H2N4_T, H4N1_T, H3N3_T, H1N2_T",48
"112","c141","H1N4_T","H4N3_T","H2N1_T","H3N2_T","P(c141 | G=T)=1/576","H1N4_T, H4N3_T, H2N1_T, H3N2_T",49
"884","c441","H4N1_T","H1N4_T","H2N2_T","H3N3_T","P(c441 | G=T)=1/576","H4N1_T, H1N4_T, H2N2_T, H3N3_T",50
"853","c43","H1N2_T","H2N3_T","H4N1_T","H3N4_T","P(c43 | G=T)=1/576","H1N2_T, H2N3_T, H4N1_T, H3N4_T",51
"225","c179","H2N1_T","H4N4_T","H3N2_T","H1N3_T","P(c179 | G=T)=1/576","H2N1_T, H4N4_T, H3N2_T, H1N3_T",52
"820","c414","H3N4_T","H2N2_T","H1N3_T","H4N1_T","P(c414 | G=T)=1/576","H3N4_T, H2N2_T, H1N3_T, H4N1_T",53
"503","c291","H3N1_T","H1N2_T","H4N3_T","H2N4_T","P(c291 | G=T)=1/576","H3N1_T, H1N2_T, H4N3_T, H2N4_T",54
"1298","c89","H1N3_T","H3N2_T","H2N1_T","H4N4_T","P(c89 | G=T)=1/576","H1N3_T, H3N2_T, H2N1_T, H4N4_T",55
"504","c291","H3N1_T","H1N2_T","H4N3_T","H2N4_T","P(c291 | G=T)=1/576","H3N1_T, H1N2_T, H4N3_T, H2N4_T",56
"485","c285","H2N4_T","H4N3_T","H1N1_T","H3N2_T","P(c285 | G=T)=1/576","H2N4_T, H4N3_T, H1N1_T, H3N2_T",57
"865","c433","H4N1_T","H1N2_T","H2N3_T","H3N4_T","P(c433 | G=T)=1/576","H4N1_T, H1N2_T, H2N3_T, H3N4_T",58
"8","c101","H1N3_T","H4N2_T","H2N1_T","H3N4_T","P(c101 | G=T)=1/576","H1N3_T, H4N2_T, H2N1_T, H3N4_T",59
"997","c489","H4N2_T","H2N4_T","H1N1_T","H3N3_T","P(c489 | G=T)=1/576","H4N2_T, H2N4_T, H1N1_T, H3N3_T",60
"1020","c499","H4N2_T","H3N3_T","H2N1_T","H1N4_T","P(c499 | G=T)=1/576","H4N2_T, H3N3_T, H2N1_T, H1N4_T",61
"407","c25","H1N1_T","H4N2_T","H2N3_T","H3N4_T","P(c25 | G=T)=1/576","H1N1_T, H4N2_T, H2N3_T, H3N4_T",62
"237","c183","H2N2_T","H1N1_T","H4N3_T","H3N4_T","P(c183 | G=T)=1/576","H2N2_T, H1N1_T, H4N3_T, H3N4_T",63
"1282","c8","H1N1_T","H2N3_T","H4N4_T","H3N2_T","P(c8 | G=T)=1/576","H1N1_T, H2N3_T, H4N4_T, H3N2_T",64
"105","c138","H1N4_T","H4N2_T","H2N3_T","H3N1_T","P(c138 | G=T)=1/576","H1N4_T, H4N2_T, H2N3_T, H3N1_T",65
"804","c407","H3N4_T","H1N3_T","H4N1_T","H2N2_T","P(c407 | G=T)=1/576","H3N4_T, H1N3_T, H4N1_T, H2N2_T",66
"223","c178","H2N1_T","H4N4_T","H1N3_T","H3N2_T","P(c178 | G=T)=1/576","H2N1_T, H4N4_T, H1N3_T, H3N2_T",67
"511","c293","H3N1_T","H1N3_T","H2N2_T","H4N4_T","P(c293 | G=T)=1/576","H3N1_T, H1N3_T, H2N2_T, H4N4_T",68
"537","c30","H1N1_T","H4N3_T","H2N4_T","H3N2_T","P(c30 | G=T)=1/576","H1N1_T, H4N3_T, H2N4_T, H3N2_T",69
"594","c326","H3N2_T","H1N1_T","H2N4_T","H4N3_T","P(c326 | G=T)=1/576","H3N2_T, H1N1_T, H2N4_T, H4N3_T",70
"1252","c70","H1N2_T","H4N4_T","H2N3_T","H3N1_T","P(c70 | G=T)=1/576","H1N2_T, H4N4_T, H2N3_T, H3N1_T",71
"1053","c515","H4N3_T","H1N4_T","H3N1_T","H2N2_T","P(c515 | G=T)=1/576","H4N3_T, H1N4_T, H3N1_T, H2N2_T",72
"1300","c9","H1N1_T","H2N4_T","H3N2_T","H4N3_T","P(c9 | G=T)=1/576","H1N1_T, H2N4_T, H3N2_T, H4N3_T",73
"908","c452","H4N1_T","H2N3_T","H3N4_T","H1N2_T","P(c452 | G=T)=1/576","H4N1_T, H2N3_T, H3N4_T, H1N2_T",74
"1060","c52","H1N2_T","H3N1_T","H4N4_T","H2N3_T","P(c52 | G=T)=1/576","H1N2_T, H3N1_T, H4N4_T, H2N3_T",75
"541","c300","H3N1_T","H1N4_T","H4N3_T","H2N2_T","P(c300 | G=T)=1/576","H3N1_T, H1N4_T, H4N3_T, H2N2_T",76
"332","c222","H2N3_T","H1N2_T","H3N4_T","H4N1_T","P(c222 | G=T)=1/576","H2N3_T, H1N2_T, H3N4_T, H4N1_T",77
"813","c41","H1N2_T","H2N3_T","H3N1_T","H4N4_T","P(c41 | G=T)=1/576","H1N2_T, H2N3_T, H3N1_T, H4N4_T",78
"242","c185","H2N2_T","H1N3_T","H3N1_T","H4N4_T","P(c185 | G=T)=1/576","H2N2_T, H1N3_T, H3N1_T, H4N4_T",79
"760","c386","H3N3_T","H4N1_T","H1N4_T","H2N2_T","P(c386 | G=T)=1/576","H3N3_T, H4N1_T, H1N4_T, H2N2_T",80
"1096","c534","H4N3_T","H3N2_T","H1N4_T","H2N1_T","P(c534 | G=T)=1/576","H4N3_T, H3N2_T, H1N4_T, H2N1_T",81
"451","c272","H2N4_T","H3N2_T","H4N3_T","H1N1_T","P(c272 | G=T)=1/576","H2N4_T, H3N2_T, H4N3_T, H1N1_T",82
"1290","c83","H1N3_T","H2N4_T","H4N1_T","H3N2_T","P(c83 | G=T)=1/576","H1N3_T, H2N4_T, H4N1_T, H3N2_T",83
"564","c314","H3N1_T","H4N2_T","H1N4_T","H2N3_T","P(c314 | G=T)=1/576","H3N1_T, H4N2_T, H1N4_T, H2N3_T",84
"41","c113","H1N4_T","H2N2_T","H3N1_T","H4N3_T","P(c113 | G=T)=1/576","H1N4_T, H2N2_T, H3N1_T, H4N3_T",85
"1058","c518","H4N3_T","H2N1_T","H1N4_T","H3N2_T","P(c518 | G=T)=1/576","H4N3_T, H2N1_T, H1N4_T, H3N2_T",86
"341","c225","H2N3_T","H1N4_T","H3N1_T","H4N2_T","P(c225 | G=T)=1/576","H2N3_T, H1N4_T, H3N1_T, H4N2_T",87
"232","c180","H2N1_T","H4N4_T","H3N3_T","H1N2_T","P(c180 | G=T)=1/576","H2N1_T, H4N4_T, H3N3_T, H1N2_T",88
"1309","c93","H1N3_T","H3N4_T","H2N1_T","H4N2_T","P(c93 | G=T)=1/576","H1N3_T, H3N4_T, H2N1_T, H4N2_T",89
"1057","c517","H4N3_T","H2N1_T","H1N2_T","H3N4_T","P(c517 | G=T)=1/576","H4N3_T, H2N1_T, H1N2_T, H3N4_T",90
"1311","c96","H1N3_T","H3N4_T","H4N2_T","H2N1_T","P(c96 | G=T)=1/576","H1N3_T, H3N4_T, H4N2_T, H2N1_T",91
"1059","c519","H4N3_T","H2N1_T","H3N2_T","H1N4_T","P(c519 | G=T)=1/576","H4N3_T, H2N1_T, H3N2_T, H1N4_T",92
"1279","c78","H1N3_T","H2N2_T","H3N4_T","H4N1_T","P(c78 | G=T)=1/576","H1N3_T, H2N2_T, H3N4_T, H4N1_T",93
"1272","c76","H1N3_T","H2N1_T","H4N4_T","H3N2_T","P(c76 | G=T)=1/576","H1N3_T, H2N1_T, H4N4_T, H3N2_T",94
"1227","c61","H1N2_T","H4N1_T","H2N3_T","H3N4_T","P(c61 | G=T)=1/576","H1N2_T, H4N1_T, H2N3_T, H3N4_T",95
"522","c295","H3N1_T","H1N3_T","H4N2_T","H2N4_T","P(c295 | G=T)=1/576","H3N1_T, H1N3_T, H4N2_T, H2N4_T",96
"198","c173","H2N1_T","H4N3_T","H1N2_T","H3N4_T","P(c173 | G=T)=1/576","H2N1_T, H4N3_T, H1N2_T, H3N4_T",97
"169","c16","H1N1_T","H3N2_T","H4N4_T","H2N3_T","P(c16 | G=T)=1/576","H1N1_T, H3N2_T, H4N4_T, H2N3_T",98
"224","c179","H2N1_T","H4N4_T","H3N2_T","H1N3_T","P(c179 | G=T)=1/576","H2N1_T, H4N4_T, H3N2_T, H1N3_T",99
"847","c428","H3N4_T","H4N2_T","H2N3_T","H1N1_T","P(c428 | G=T)=1/576","H3N4_T, H4N2_T, H2N3_T, H1N1_T",100
"305","c21","H1N1_T","H3N4_T","H2N2_T","H4N3_T","P(c21 | G=T)=1/576","H1N1_T, H3N4_T, H2N2_T, H4N3_T",101
"593","c326","H3N2_T","H1N1_T","H2N4_T","H4N3_T","P(c326 | G=T)=1/576","H3N2_T, H1N1_T, H2N4_T, H4N3_T",102
"177","c162","H2N1_T","H3N3_T","H1N4_T","H4N2_T","P(c162 | G=T)=1/576","H2N1_T, H3N3_T, H1N4_T, H4N2_T",103
"61","c118","H1N4_T","H2N3_T","H3N2_T","H4N1_T","P(c118 | G=T)=1/576","H1N4_T, H2N3_T, H3N2_T, H4N1_T",104
"1278","c78","H1N3_T","H2N2_T","H3N4_T","H4N1_T","P(c78 | G=T)=1/576","H1N3_T, H2N2_T, H3N4_T, H4N1_T",105
"247","c188","H2N2_T","H1N3_T","H4N4_T","H3N1_T","P(c188 | G=T)=1/576","H2N2_T, H1N3_T, H4N4_T, H3N1_T",106
"1303","c90","H1N3_T","H3N2_T","H2N4_T","H4N1_T","P(c90 | G=T)=1/576","H1N3_T, H3N2_T, H2N4_T, H4N1_T",107
"1268","c75","H1N3_T","H2N1_T","H4N2_T","H3N4_T","P(c75 | G=T)=1/576","H1N3_T, H2N1_T, H4N2_T, H3N4_T",108
"410","c251","H2N3_T","H4N4_T","H3N1_T","H1N2_T","P(c251 | G=T)=1/576","H2N3_T, H4N4_T, H3N1_T, H1N2_T",109
"356","c23","H1N1_T","H3N4_T","H4N2_T","H2N3_T","P(c23 | G=T)=1/576","H1N1_T, H3N4_T, H4N2_T, H2N3_T",110
"817","c411","H3N4_T","H2N1_T","H4N2_T","H1N3_T","P(c411 | G=T)=1/576","H3N4_T, H2N1_T, H4N2_T, H1N3_T",111
"1222","c59","H1N2_T","H3N4_T","H4N1_T","H2N3_T","P(c59 | G=T)=1/576","H1N2_T, H3N4_T, H4N1_T, H2N3_T",112
"1140","c548","H4N4_T","H1N2_T","H3N3_T","H2N1_T","P(c548 | G=T)=1/576","H4N4_T, H1N2_T, H3N3_T, H2N1_T",113
"1255","c71","H1N2_T","H4N4_T","H3N1_T","H2N3_T","P(c71 | G=T)=1/576","H1N2_T, H4N4_T, H3N1_T, H2N3_T",114
"79","c127","H1N4_T","H3N2_T","H4N1_T","H2N3_T","P(c127 | G=T)=1/576","H1N4_T, H3N2_T, H4N1_T, H2N3_T",115
"1070","c526","H4N3_T","H2N4_T","H1N2_T","H3N1_T","P(c526 | G=T)=1/576","H4N3_T, H2N4_T, H1N2_T, H3N1_T",116
"1127","c545","H4N4_T","H1N2_T","H2N1_T","H3N3_T","P(c545 | G=T)=1/576","H4N4_T, H1N2_T, H2N1_T, H3N3_T",117
"172","c161","H2N1_T","H3N3_T","H1N2_T","H4N4_T","P(c161 | G=T)=1/576","H2N1_T, H3N3_T, H1N2_T, H4N4_T",118
"1257","c72","H1N2_T","H4N4_T","H3N3_T","H2N1_T","P(c72 | G=T)=1/576","H1N2_T, H4N4_T, H3N3_T, H2N1_T",119
"926","c460","H4N1_T","H3N2_T","H2N4_T","H1N3_T","P(c460 | G=T)=1/576","H4N1_T, H3N2_T, H2N4_T, H1N3_T",120
"851","c429","H3N4_T","H4N3_T","H1N1_T","H2N2_T","P(c429 | G=T)=1/576","H3N4_T, H4N3_T, H1N1_T, H2N2_T",121
"1077","c528","H4N3_T","H2N4_T","H3N2_T","H1N1_T","P(c528 | G=T)=1/576","H4N3_T, H2N4_T, H3N2_T, H1N1_T",122
"1207","c573","H4N4_T","H3N3_T","H1N1_T","H2N2_T","P(c573 | G=T)=1/576","H4N4_T, H3N3_T, H1N1_T, H2N2_T",123
"1122","c543","H4N4_T","H1N1_T","H3N2_T","H2N3_T","P(c543 | G=T)=1/576","H4N4_T, H1N1_T, H3N2_T, H2N3_T",124
"477","c281","H2N4_T","H4N2_T","H1N1_T","H3N3_T","P(c281 | G=T)=1/576","H2N4_T, H4N2_T, H1N1_T, H3N3_T",125
"180","c164","H2N1_T","H3N3_T","H4N4_T","H1N2_T","P(c164 | G=T)=1/576","H2N1_T, H3N3_T, H4N4_T, H1N2_T",126
"120","c145","H2N1_T","H1N2_T","H3N3_T","H4N4_T","P(c145 | G=T)=1/576","H2N1_T, H1N2_T, H3N3_T, H4N4_T",127
"500","c290","H3N1_T","H1N2_T","H2N4_T","H4N3_T","P(c290 | G=T)=1/576","H3N1_T, H1N2_T, H2N4_T, H4N3_T",128
"489","c287","H2N4_T","H4N3_T","H3N1_T","H1N2_T","P(c287 | G=T)=1/576","H2N4_T, H4N3_T, H3N1_T, H1N2_T",129
"239","c184","H2N2_T","H1N1_T","H4N4_T","H3N3_T","P(c184 | G=T)=1/576","H2N2_T, H1N1_T, H4N4_T, H3N3_T",130
"1154","c555","H4N4_T","H2N1_T","H3N2_T","H1N3_T","P(c555 | G=T)=1/576","H4N4_T, H2N1_T, H3N2_T, H1N3_T",131
"703","c366","H3N3_T","H1N2_T","H2N4_T","H4N1_T","P(c366 | G=T)=1/576","H3N3_T, H1N2_T, H2N4_T, H4N1_T",132
"1261","c74","H1N3_T","H2N1_T","H3N4_T","H4N2_T","P(c74 | G=T)=1/576","H1N3_T, H2N1_T, H3N4_T, H4N2_T",133
"393","c244","H2N3_T","H4N1_T","H3N4_T","H1N2_T","P(c244 | G=T)=1/576","H2N3_T, H4N1_T, H3N4_T, H1N2_T",134
"1074","c527","H4N3_T","H2N4_T","H3N1_T","H1N2_T","P(c527 | G=T)=1/576","H4N3_T, H2N4_T, H3N1_T, H1N2_T",135
"448","c270","H2N4_T","H3N2_T","H1N3_T","H4N1_T","P(c270 | G=T)=1/576","H2N4_T, H3N2_T, H1N3_T, H4N1_T",136
"1068","c524","H4N3_T","H2N2_T","H3N4_T","H1N1_T","P(c524 | G=T)=1/576","H4N3_T, H2N2_T, H3N4_T, H1N1_T",137
"644","c345","H3N2_T","H2N4_T","H1N1_T","H4N3_T","P(c345 | G=T)=1/576","H3N2_T, H2N4_T, H1N1_T, H4N3_T",138
"696","c364","H3N3_T","H1N1_T","H4N4_T","H2N2_T","P(c364 | G=T)=1/576","H3N3_T, H1N1_T, H4N4_T, H2N2_T",139
"1026","c501","H4N2_T","H3N4_T","H1N1_T","H2N3_T","P(c501 | G=T)=1/576","H4N2_T, H3N4_T, H1N1_T, H2N3_T",140
"502","c290","H3N1_T","H1N2_T","H2N4_T","H4N3_T","P(c290 | G=T)=1/576","H3N1_T, H1N2_T, H2N4_T, H4N3_T",141
"1183","c567","H4N4_T","H3N1_T","H2N2_T","H1N3_T","P(c567 | G=T)=1/576","H4N4_T, H3N1_T, H2N2_T, H1N3_T",142
"244","c187","H2N2_T","H1N3_T","H4N1_T","H3N4_T","P(c187 | G=T)=1/576","H2N2_T, H1N3_T, H4N1_T, H3N4_T",143
"465","c278","H2N4_T","H4N1_T","H1N3_T","H3N2_T","P(c278 | G=T)=1/576","H2N4_T, H4N1_T, H1N3_T, H3N2_T",144
"298","c206","H2N2_T","H4N1_T","H1N4_T","H3N3_T","P(c206 | G=T)=1/576","H2N2_T, H4N1_T, H1N4_T, H3N3_T",145
"692","c362","H3N3_T","H1N1_T","H2N4_T","H4N2_T","P(c362 | G=T)=1/576","H3N3_T, H1N1_T, H2N4_T, H4N2_T",146
"845","c428","H3N4_T","H4N2_T","H2N3_T","H1N1_T","P(c428 | G=T)=1/576","H3N4_T, H4N2_T, H2N3_T, H1N1_T",147
"592","c326","H3N2_T","H1N1_T","H2N4_T","H4N3_T","P(c326 | G=T)=1/576","H3N2_T, H1N1_T, H2N4_T, H4N3_T",148
"1179","c565","H4N4_T","H3N1_T","H1N2_T","H2N3_T","P(c565 | G=T)=1/576","H4N4_T, H3N1_T, H1N2_T, H2N3_T",149
"618","c333","H3N2_T","H1N4_T","H2N1_T","H4N3_T","P(c333 | G=T)=1/576","H3N2_T, H1N4_T, H2N1_T, H4N3_T",150
"412","c253","H2N4_T","H1N1_T","H3N2_T","H4N3_T","P(c253 | G=T)=1/576","H2N4_T, H1N1_T, H3N2_T, H4N3_T",151
"92","c132","H1N4_T","H3N3_T","H4N2_T","H2N1_T","P(c132 | G=T)=1/576","H1N4_T, H3N3_T, H4N2_T, H2N1_T",152
"973","c48","H1N2_T","H2N4_T","H4N3_T","H3N1_T","P(c48 | G=T)=1/576","H1N2_T, H2N4_T, H4N3_T, H3N1_T",153
"1000","c490","H4N2_T","H2N4_T","H1N3_T","H3N1_T","P(c490 | G=T)=1/576","H4N2_T, H2N4_T, H1N3_T, H3N1_T",154
"100","c136","H1N4_T","H4N1_T","H3N3_T","H2N2_T","P(c136 | G=T)=1/576","H1N4_T, H4N1_T, H3N3_T, H2N2_T",155
"1196","c570","H4N4_T","H3N2_T","H1N3_T","H2N1_T","P(c570 | G=T)=1/576","H4N4_T, H3N2_T, H1N3_T, H2N1_T",156
"649","c347","H3N2_T","H2N4_T","H4N1_T","H1N3_T","P(c347 | G=T)=1/576","H3N2_T, H2N4_T, H4N1_T, H1N3_T",157
"1212","c576","H4N4_T","H3N3_T","H2N2_T","H1N1_T","P(c576 | G=T)=1/576","H4N4_T, H3N3_T, H2N2_T, H1N1_T",158
"322","c217","H2N3_T","H1N1_T","H3N2_T","H4N4_T","P(c217 | G=T)=1/576","H2N3_T, H1N1_T, H3N2_T, H4N4_T",159
"578","c320","H3N1_T","H4N3_T","H2N4_T","H1N2_T","P(c320 | G=T)=1/576","H3N1_T, H4N3_T, H2N4_T, H1N2_T",160
"405","c248","H2N3_T","H4N2_T","H3N4_T","H1N1_T","P(c248 | G=T)=1/576","H2N3_T, H4N2_T, H3N4_T, H1N1_T",161
"616","c332","H3N2_T","H1N3_T","H4N4_T","H2N1_T","P(c332 | G=T)=1/576","H3N2_T, H1N3_T, H4N4_T, H2N1_T",162
"409","c250","H2N3_T","H4N4_T","H1N2_T","H3N1_T","P(c250 | G=T)=1/576","H2N3_T, H4N4_T, H1N2_T, H3N1_T",163
"87","c130","H1N4_T","H3N3_T","H2N2_T","H4N1_T","P(c130 | G=T)=1/576","H1N4_T, H3N3_T, H2N2_T, H4N1_T",164
"998","c49","H1N2_T","H3N1_T","H2N3_T","H4N4_T","P(c49 | G=T)=1/576","H1N2_T, H3N1_T, H2N3_T, H4N4_T",165
"707","c368","H3N3_T","H1N2_T","H4N4_T","H2N1_T","P(c368 | G=T)=1/576","H3N3_T, H1N2_T, H4N4_T, H2N1_T",166
"406","c249","H2N3_T","H4N4_T","H1N1_T","H3N2_T","P(c249 | G=T)=1/576","H2N3_T, H4N4_T, H1N1_T, H3N2_T",167
"828","c42","H1N2_T","H2N3_T","H3N4_T","H4N1_T","P(c42 | G=T)=1/576","H1N2_T, H2N3_T, H3N4_T, H4N1_T",168
"936","c463","H4N1_T","H3N3_T","H2N2_T","H1N4_T","P(c463 | G=T)=1/576","H4N1_T, H3N3_T, H2N2_T, H1N4_T",169
"246","c188","H2N2_T","H1N3_T","H4N4_T","H3N1_T","P(c188 | G=T)=1/576","H2N2_T, H1N3_T, H4N4_T, H3N1_T",170
"871","c437","H4N1_T","H1N3_T","H2N2_T","H3N4_T","P(c437 | G=T)=1/576","H4N1_T, H1N3_T, H2N2_T, H3N4_T",171
"629","c337","H3N2_T","H2N1_T","H1N3_T","H4N4_T","P(c337 | G=T)=1/576","H3N2_T, H2N1_T, H1N3_T, H4N4_T",172
"809","c409","H3N4_T","H2N1_T","H1N2_T","H4N3_T","P(c409 | G=T)=1/576","H3N4_T, H2N1_T, H1N2_T, H4N3_T",173
"400","c246","H2N3_T","H4N2_T","H1N4_T","H3N1_T","P(c246 | G=T)=1/576","H2N3_T, H4N2_T, H1N4_T, H3N1_T",174
"275","c198","H2N2_T","H3N3_T","H1N4_T","H4N1_T","P(c198 | G=T)=1/576","H2N2_T, H3N3_T, H1N4_T, H4N1_T",175
